Ticker,Name,Avg_30d_Vol,Recent_Vol,Trend_Strength,Trend_Slope_Pct,Momentum_6M_Pct,Avg_Daily_Volume,Total_Return_Pct,Data_Points,Sector,Selected
HDFCBANK.NS,HDFCBANK,0.01269,0.00724,0.9401,2.49,-0.74,24999043,46.82,1235,Banking,True
ICICIBANK.NS,ICICIBANK,0.01293,0.00699,0.9892,-2.89,-6.43,14542545,163.14,1235,Banking,True
SBIN.NS,SBIN,0.01542,0.00874,0.9869,15.76,18.66,18987733,277.59,1235,Banking,True
KOTAKBANK.NS,KOTAKBANK,0.01413,0.00718,0.8258,7.03,-0.38,20134637,8.41,1235,Banking,False
AXISBANK.NS,AXISBANK,0.015,0.01213,0.9526,7.64,3.99,9878118,100.58,1235,Banking,False
TCS.NS,TCS,0.01278,0.00865,0.9223,4.05,-5.55,2426080,24.11,1235,IT,True
INFY.NS,INFY,0.01467,0.01215,0.8831,7.98,2.79,6894217,46.14,1235,IT,True
WIPRO.NS,WIPRO,0.01563,0.01075,0.9212,2.81,1.07,14582524,43.68,1235,IT,False
HCLTECH.NS,HCLTECH,0.01465,0.01301,0.9572,4.68,-5.08,3478502,107.2,1235,IT,False
TECHM.NS,TECHM,0.01656,0.01074,0.9302,1.91,-2.13,2624790,95.48,1235,IT,False
SUNPHARMA.NS,SUNPHARMA,0.01268,0.00949,0.9871,6.48,2.99,3133667,203.79,1235,Pharma,True
DRREDDY.NS,DRREDDY,0.01339,0.00737,0.9428,-1.88,-0.74,2478959,24.61,1235,Pharma,True
CIPLA.NS,CIPLA,0.01415,0.00734,0.9865,-2.64,-0.89,2231729,87.46,1235,Pharma,False
DIVISLAB.NS,DIVISLAB,0.01648,0.00932,0.9765,5.39,-6.17,535297,70.35,1235,Pharma,False
APOLLOHOSP.NS,APOLLOHOSP,0.01671,0.00841,0.9709,0.62,-3.36,578545,192.85,1235,Pharma,False
ITC.NS,ITC,0.01204,0.00537,0.9897,-1.56,-3.81,17990719,139.16,1235,FMCG,True
HINDUNILVR.NS,HINDUNILVR,0.01227,0.01215,0.7389,-4.33,0.59,1730669,4.31,1235,FMCG,True
NESTLEIND.NS,NESTLEIND,0.01159,0.00857,0.9644,4.82,3.8,1517344,45.29,1235,FMCG,False
BRITANNIA.NS,BRITANNIA,0.01228,0.00862,0.9623,1.56,4.12,378057,82.6,1235,FMCG,False
DABUR.NS,DABUR,0.01281,0.00721,0.7494,-2.96,3.71,2307490,-2.16,1235,FMCG,False
M&M.NS,M&M,0.01736,0.00993,0.988,9.25,15.91,3262376,423.83,1235,Auto,True
MARUTI.NS,MARUTI,0.01391,0.00924,0.9659,9.08,35.7,592139,125.83,1235,Auto,True
BAJAJ-AUTO.NS,BAJAJ-AUTO,0.01463,0.01007,0.9766,2.22,10.82,464334,204.9,1235,Auto,False
EICHERMOT.NS,EICHERMOT,0.01594,0.01164,0.9865,15.56,28.8,711272,196.69,1235,Auto,False
HEROMOTOCO.NS,HEROMOTOCO,0.01536,0.01383,0.9792,13.86,36.82,713590,118.76,1235,Auto,False
